District,Province,Year,Setting,Pass_Rate_Pct,Number_of_Students,Number_of_Schools,Pupil_Teacher_Ratio,Textbook_Availability_Index,ICT_Resource_Index,School_Infrastructure_Index,Proportion_Schools_With_Science_Labs,Poverty_Incidence_Pct,Adult_Literacy_Rate_Pct,Unemployment_Rate_Pct,Avg_Household_Income_USD,Youth_Population_Density,Rural_Urban,Distance_to_Exam_Center_km,Previous_Year_Pass_Rate_Pct,Grade7_Pass_Rate_Pct
Marondera Rural,Mashonaland East,2018,June,25.7,793,30,54.8,0.2,0.28,0.46,0.27,54.8,67.9,46.9,78.0,8.4,Rural,55.6,26.7,48.1
Marondera Rural,Mashonaland East,2018,November,28.8,1499,30,53.5,0.19,0.3,0.48,0.27,55.3,66.9,50.2,81.0,8.6,Rural,54.7,25.7,44.7
Marondera Rural,Mashonaland East,2019,June,24.6,816,30,53.7,0.22,0.32,0.46,0.27,55.5,68.6,48.6,79.0,8.5,Rural,55.0,28.8,46.3
Marondera Rural,Mashonaland East,2019,November,32.0,1525,31,54.0,0.22,0.32,0.47,0.28,54.0,69.0,45.9,78.0,8.6,Rural,53.0,24.6,46.5
Marondera Rural,Mashonaland East,2020,June,19.4,802,31,55.9,0.19,0.34,0.47,0.29,60.5,68.1,53.2,71.0,8.4,Rural,56.3,32.0,46.6
Marondera Rural,Mashonaland East,2020,November,24.0,1529,31,59.5,0.2,0.32,0.47,0.28,61.2,69.5,51.9,70.0,8.7,Rural,52.4,19.4,42.3
Marondera Rural,Mashonaland East,2021,June,21.6,812,31,57.5,0.2,0.33,0.49,0.28,59.0,67.5,52.7,67.0,8.8,Rural,50.7,24.0,47.0
Marondera Rural,Mashonaland East,2021,November,25.1,1579,31,56.8,0.2,0.35,0.51,0.29,62.1,68.7,55.1,70.0,8.8,Rural,50.7,21.6,44.4
Marondera Rural,Mashonaland East,2022,June,25.9,826,31,53.3,0.24,0.39,0.5,0.29,55.5,68.8,48.9,84.0,8.8,Rural,54.7,25.1,45.6
Marondera Rural,Mashonaland East,2022,November,28.8,1599,31,53.0,0.25,0.39,0.51,0.29,55.8,69.7,46.1,85.0,9.2,Rural,54.1,25.9,45.3
Marondera Rural,Mashonaland East,2023,June,25.0,853,32,51.0,0.25,0.41,0.53,0.3,53.0,68.3,48.4,89.0,8.6,Rural,52.1,28.8,46.6
Marondera Rural,Mashonaland East,2023,November,29.6,1574,32,53.3,0.27,0.45,0.51,0.3,52.4,68.2,49.8,91.0,9.2,Rural,52.5,25.0,50.6
Marondera Rural,Mashonaland East,2024,June,29.0,886,31,51.7,0.27,0.44,0.52,0.3,54.0,69.0,46.5,85.0,9.3,Rural,53.5,29.6,48.9
Marondera Rural,Mashonaland East,2024,November,31.6,1627,32,50.3,0.27,0.47,0.51,0.31,55.5,68.3,44.6,87.0,8.8,Rural,51.5,29.0,48.5
Mudzi,Mashonaland East,2015,June,23.9,2538,28,49.8,0.36,0.16,0.2,0.05,56.6,69.6,46.0,131.0,33.2,Rural,53.5,22.0,40.8
Mudzi,Mashonaland East,2015,November,26.7,4731,27,51.3,0.34,0.15,0.2,0.05,58.6,69.4,46.0,125.0,32.6,Rural,57.0,23.9,45.9
Mudzi,Mashonaland East,2016,June,22.9,2563,28,50.3,0.35,0.17,0.21,0.06,55.1,68.6,44.0,137.0,34.2,Rural,55.2,26.7,41.8
Mudzi,Mashonaland East,2016,November,29.5,4939,28,51.7,0.35,0.18,0.21,0.06,57.0,70.0,44.6,125.0,32.8,Rural,52.5,22.9,45.4
Mudzi,Mashonaland East,2017,June,25.7,2744,28,48.2,0.37,0.2,0.21,0.07,55.1,68.2,43.9,141.0,34.3,Rural,56.1,29.5,44.9
Mudzi,Mashonaland East,2017,November,31.3,4865,28,49.2,0.36,0.18,0.22,0.07,57.2,69.6,44.1,139.0,32.3,Rural,53.9,25.7,44.5
Mudzi,Mashonaland East,2018,June,25.1,2640,28,49.7,0.37,0.2,0.23,0.07,57.8,69.0,46.6,135.0,32.8,Rural,55.8,31.3,42.5
Mudzi,Mashonaland East,2018,November,30.0,5007,28,48.2,0.38,0.21,0.23,0.07,54.8,69.3,45.7,141.0,33.0,Rural,52.8,25.1,44.4
Mudzi,Mashonaland East,2019,June,28.8,2693,28,46.9,0.41,0.22,0.23,0.08,56.0,68.4,42.0,131.0,34.2,Rural,50.6,30.0,47.9
Mudzi,Mashonaland East,2019,November,31.4,5214,29,49.9,0.4,0.22,0.25,0.08,53.8,70.8,44.4,143.0,34.2,Rural,54.8,28.8,46.2
Mudzi,Mashonaland East,2020,June,21.9,2721,29,51.8,0.37,0.24,0.25,0.09,60.7,68.8,49.1,120.0,34.3,Rural,54.5,31.4,39.8
Mudzi,Mashonaland East,2020,November,27.3,5164,28,51.9,0.37,0.25,0.25,0.09,62.5,69.1,51.7,128.0,34.7,Rural,53.5,21.9,43.7
Mudzi,Mashonaland East,2021,June,22.5,2803,29,52.3,0.4,0.25,0.25,0.09,59.1,70.8,51.4,129.0,35.6,Rural,52.0,27.3,42.4
Mudzi,Mashonaland East,2021,November,26.4,5366,29,53.3,0.39,0.26,0.25,0.1,58.3,69.4,51.5,119.0,35.2,Rural,50.1,22.5,41.6
Mudzi,Mashonaland East,2022,June,27.0,2876,29,48.2,0.42,0.32,0.27,0.11,53.3,69.1,43.2,141.0,34.5,Rural,51.7,26.4,47.0
Mudzi,Mashonaland East,2022,November,32.7,5196,29,48.4,0.43,0.33,0.26,0.1,55.9,69.9,43.8,148.0,34.1,Rural,50.6,27.0,44.7
Mudzi,Mashonaland East,2023,June,27.7,2832,29,46.5,0.44,0.34,0.28,0.12,54.0,70.7,45.9,155.0,35.1,Rural,53.7,32.7,49.0
Mudzi,Mashonaland East,2023,November,33.3,5360,29,48.5,0.46,0.35,0.27,0.12,53.7,70.4,43.3,156.0,35.4,Rural,53.7,27.7,48.3
Mudzi,Mashonaland East,2024,June,28.6,2900,29,46.5,0.47,0.39,0.29,0.13,52.3,71.2,42.7,148.0,35.5,Rural,52.0,33.3,47.4
Mudzi,Mashonaland East,2024,November,33.7,5472,29,46.0,0.46,0.36,0.28,0.12,53.1,69.4,46.7,145.0,35.5,Rural,49.7,28.6,50.4
Murehwa,Mashonaland East,2015,June,39.6,1076,12,39.6,0.15,0.07,0.26,0.07,61.7,69.7,52.5,87.0,25.7,Rural,44.0,39.2,44.2
Murehwa,Mashonaland East,2015,November,43.1,2014,13,40.3,0.16,0.07,0.26,0.07,58.0,69.6,54.6,91.0,25.5,Rural,46.3,39.6,47.8
Murehwa,Mashonaland East,2016,June,38.3,1101,13,40.5,0.18,0.09,0.26,0.08,59.2,68.7,51.5,92.0,25.9,Rural,44.2,43.1,48.7
Murehwa,Mashonaland East,2016,November,44.8,2110,13,39.9,0.17,0.09,0.27,0.08,61.2,69.4,49.7,84.0,26.0,Rural,45.9,38.3,44.2
Murehwa,Mashonaland East,2017,June,38.9,1151,13,40.6,0.18,0.11,0.26,0.09,59.8,68.3,54.3,87.0,25.4,Rural,45.7,44.8,45.9
Murehwa,Mashonaland East,2017,November,44.8,2119,13,38.1,0.19,0.11,0.28,0.09,57.6,68.7,50.1,90.0,26.9,Rural,42.5,38.9,47.2
Murehwa,Mashonaland East,2018,June,40.6,1185,13,39.7,0.2,0.13,0.28,0.1,59.3,68.2,49.5,95.0,25.5,Rural,42.6,44.8,47.7
Murehwa,Mashonaland East,2018,November,49.0,2110,13,37.9,0.19,0.13,0.29,0.1,58.1,70.2,51.9,88.0,25.9,Rural,41.9,40.6,46.7
Murehwa,Mashonaland East,2019,June,41.9,1137,13,37.5,0.21,0.15,0.29,0.11,56.3,68.1,49.4,90.0,27.1,Rural,43.9,49.0,49.2
Murehwa,Mashonaland East,2019,November,46.6,2213,13,38.9,0.22,0.14,0.3,0.11,58.5,70.0,50.8,99.0,26.8,Rural,44.7,41.9,49.7
Murehwa,Mashonaland East,2020,June,37.4,1199,13,40.7,0.2,0.15,0.31,0.11,63.9,70.6,56.6,86.0,27.7,Rural,41.2,46.6,42.0
Murehwa,Mashonaland East,2020,November,42.0,2173,13,40.4,0.2,0.15,0.32,0.11,60.3,70.8,54.6,82.0,27.8,Rural,44.2,37.4,45.7
Murehwa,Mashonaland East,2021,June,38.1,1198,13,42.4,0.2,0.18,0.32,0.12,63.5,68.6,57.0,80.0,27.7,Rural,42.2,42.0,43.5
Murehwa,Mashonaland East,2021,November,42.9,2195,13,41.7,0.21,0.17,0.31,0.12,64.0,70.0,55.2,86.0,27.2,Rural,41.7,38.1,48.3
Murehwa,Mashonaland East,2022,June,42.3,1229,13,39.0,0.25,0.26,0.33,0.13,57.7,69.7,49.4,101.0,28.4,Rural,39.9,42.9,50.8
Murehwa,Mashonaland East,2022,November,47.7,2230,13,38.3,0.24,0.24,0.34,0.13,54.8,68.9,48.0,94.0,26.8,Rural,42.2,42.3,47.0
Murehwa,Mashonaland East,2023,June,43.6,1257,13,38.4,0.25,0.27,0.34,0.15,55.7,69.4,51.0,105.0,28.2,Rural,42.2,47.7,49.2
Murehwa,Mashonaland East,2023,November,49.9,2353,13,37.5,0.27,0.26,0.34,0.13,57.2,68.9,51.0,104.0,28.1,Rural,42.6,43.6,51.1
Murehwa,Mashonaland East,2024,June,46.9,1221,14,37.1,0.26,0.29,0.35,0.14,54.6,69.7,49.8,102.0,28.1,Rural,40.8,49.9,51.7
Murehwa,Mashonaland East,2024,November,51.0,2298,14,38.5,0.27,0.27,0.35,0.15,57.9,70.1,51.8,102.0,28.4,Rural,39.3,46.9,49.5
Mutoko,Mashonaland East,2015,June,9.5,1004,28,48.6,0.17,0.15,0.13,0.12,60.7,66.2,43.5,94.0,56.9,Rural,47.7,9.5,43.5
Mutoko,Mashonaland East,2015,November,15.4,1827,27,47.8,0.16,0.13,0.13,0.12,61.8,64.1,39.7,87.0,57.2,Rural,48.1,9.5,38.3
Mutoko,Mashonaland East,2016,June,10.4,1034,28,47.3,0.18,0.16,0.15,0.13,57.8,64.9,42.2,92.0,61.4,Rural,50.9,15.4,40.2
Mutoko,Mashonaland East,2016,November,15.4,1909,28,46.1,0.18,0.17,0.14,0.13,59.9,65.0,42.6,90.0,60.4,Rural,49.6,10.4,41.1
Mutoko,Mashonaland East,2017,June,11.1,1059,28,46.6,0.19,0.18,0.15,0.15,60.6,65.3,43.4,91.0,62.1,Rural,48.8,15.4,39.6
Mutoko,Mashonaland East,2017,November,17.4,1967,28,46.8,0.19,0.17,0.16,0.15,58.4,64.8,46.3,94.0,62.0,Rural,49.1,11.1,40.9
Mutoko,Mashonaland East,2018,June,12.7,1024,28,47.7,0.2,0.19,0.16,0.16,57.9,66.7,44.4,95.0,61.7,Rural,48.8,17.4,42.6
Mutoko,Mashonaland East,2018,November,17.6,1960,28,48.0,0.21,0.19,0.16,0.14,59.7,64.7,39.2,95.0,61.6,Rural,47.7,12.7,41.4
Mutoko,Mashonaland East,2019,June,13.3,1098,28,48.2,0.22,0.22,0.18,0.16,57.4,67.1,40.4,101.0,62.0,Rural,48.7,17.6,45.1
Mutoko,Mashonaland East,2019,November,18.0,2013,29,45.0,0.22,0.2,0.17,0.16,57.5,66.1,39.0,99.0,63.1,Rural,45.4,13.3,42.0
Mutoko,Mashonaland East,2020,June,8.0,1066,29,47.8,0.2,0.22,0.18,0.17,62.1,67.2,47.2,85.0,62.6,Rural,46.3,18.0,38.8
Mutoko,Mashonaland East,2020,November,12.6,1989,29,51.4,0.19,0.23,0.18,0.17,64.9,64.9,50.7,87.0,63.0,Rural,48.1,8.0,39.3
Mutoko,Mashonaland East,2021,June,8.6,1112,29,50.5,0.21,0.26,0.19,0.17,62.5,67.1,47.4,80.0,62.0,Rural,48.7,12.6,43.0
Mutoko,Mashonaland East,2021,November,13.5,2037,29,48.7,0.21,0.24,0.2,0.17,59.9,66.6,45.6,84.0,65.3,Rural,45.0,8.6,42.3
Mutoko,Mashonaland East,2022,June,13.6,1108,29,47.0,0.26,0.34,0.21,0.18,56.6,65.3,42.0,107.0,64.6,Rural,48.3,13.5,44.3
Mutoko,Mashonaland East,2022,November,17.0,2106,29,46.7,0.25,0.32,0.2,0.19,57.1,67.3,41.2,106.0,61.9,Rural,45.7,13.6,41.5
Mutoko,Mashonaland East,2023,June,14.5,1108,29,46.4,0.26,0.33,0.21,0.19,57.9,66.1,42.2,99.0,62.6,Rural,44.7,17.0,41.8
Mutoko,Mashonaland East,2023,November,18.5,2110,29,45.8,0.26,0.35,0.21,0.19,55.9,67.1,43.6,107.0,65.6,Rural,45.9,14.5,44.4
Mutoko,Mashonaland East,2024,June,16.2,1149,29,44.5,0.28,0.34,0.22,0.19,56.9,67.6,40.3,111.0,65.8,Rural,46.7,18.5,46.7
Mutoko,Mashonaland East,2024,November,20.0,2116,29,45.5,0.27,0.37,0.22,0.2,54.7,66.5,42.1,100.0,66.1,Rural,44.4,16.2,43.2
Seke,Mashonaland East,2015,June,60.0,7709,39,32.2,0.54,0.4,0.53,0.5,56.6,87.9,33.7,159.0,151.2,Semi-Urban,14.0,58.2,52.6
Seke,Mashonaland East,2015,November,63.8,14070,39,32.8,0.51,0.42,0.49,0.48,55.0,87.7,33.6,162.0,154.2,Semi-Urban,15.2,60.0,50.4
Seke,Mashonaland East,2016,June,62.1,7907,40,33.0,0.57,0.41,0.52,0.52,53.3,89.7,32.2,154.0,161.0,Semi-Urban,14.4,63.8,51.3
Seke,Mashonaland East,2016,November,61.4,14737,40,33.7,0.55,0.43,0.52,0.49,53.9,88.4,32.1,153.0,157.0,Semi-Urban,14.7,62.1,52.0
Seke,Mashonaland East,2017,June,58.2,8021,40,32.9,0.54,0.43,0.55,0.53,54.7,87.8,35.2,158.0,159.5,Semi-Urban,13.9,61.4,48.9
Seke,Mashonaland East,2017,November,68.2,14477,40,31.8,0.56,0.43,0.54,0.53,55.9,88.5,31.8,157.0,153.7,Semi-Urban,14.9,58.2,48.9
Seke,Mashonaland East,2018,June,57.6,8176,40,33.1,0.56,0.45,0.53,0.53,53.1,88.7,33.0,159.0,158.0,Semi-Urban,13.7,68.2,50.0
Seke,Mashonaland East,2018,November,62.5,14874,40,33.1,0.58,0.46,0.56,0.54,52.6,88.6,31.8,167.0,159.0,Semi-Urban,14.8,57.6,53.2
Seke,Mashonaland East,2019,June,62.2,8156,41,32.7,0.57,0.48,0.54,0.53,52.0,88.3,31.9,165.0,160.1,Semi-Urban,13.6,62.5,51.9
Seke,Mashonaland East,2019,November,65.1,15196,41,31.8,0.6,0.49,0.54,0.5,52.5,90.1,32.7,173.0,168.4,Semi-Urban,14.8,62.2,52.6
Seke,Mashonaland East,2020,June,57.6,8507,41,33.2,0.55,0.47,0.56,0.54,57.0,90.5,37.0,155.0,161.0,Semi-Urban,14.8,65.1,46.2
Seke,Mashonaland East,2020,November,63.3,15177,41,35.3,0.59,0.53,0.57,0.54,60.0,89.5,41.7,153.0,158.6,Semi-Urban,13.4,57.6,46.4
Seke,Mashonaland East,2021,June,57.7,8591,41,32.9,0.58,0.52,0.56,0.55,56.1,90.4,37.8,143.0,161.2,Semi-Urban,14.4,63.3,47.4
Seke,Mashonaland East,2021,November,60.7,15533,42,35.1,0.56,0.54,0.56,0.52,57.7,90.4,38.1,147.0,169.2,Semi-Urban,13.8,57.7,50.2
Seke,Mashonaland East,2022,June,62.7,8428,41,32.3,0.62,0.61,0.61,0.54,52.2,88.6,32.3,187.0,171.1,Semi-Urban,13.5,60.7,53.4
Seke,Mashonaland East,2022,November,69.4,15947,42,32.2,0.61,0.57,0.6,0.56,53.1,90.4,34.8,191.0,167.2,Semi-Urban,13.6,62.7,50.3
Seke,Mashonaland East,2023,June,60.6,8819,42,30.3,0.66,0.6,0.6,0.53,52.5,89.5,32.3,189.0,172.5,Semi-Urban,14.0,69.4,55.4
Seke,Mashonaland East,2023,November,69.4,15900,42,31.4,0.62,0.61,0.58,0.55,51.8,90.2,33.3,191.0,168.6,Semi-Urban,13.4,60.6,51.5
Seke,Mashonaland East,2024,June,67.3,8946,43,31.3,0.65,0.65,0.59,0.57,50.3,88.4,32.2,184.0,173.0,Semi-Urban,13.5,69.4,56.2
Seke,Mashonaland East,2024,November,71.7,16639,42,31.8,0.64,0.58,0.61,0.59,52.3,90.5,33.0,198.0,173.0,Semi-Urban,13.6,67.3,53.9
UMP,Mashonaland East,2015,June,30.8,1010,26,48.1,0.16,0.22,0.14,0.13,84.1,71.5,46.6,69.0,29.2,Rural,39.8,33.3,36.2
UMP,Mashonaland East,2015,November,34.7,1853,26,48.6,0.16,0.22,0.14,0.13,83.4,72.6,52.3,65.0,29.0,Rural,40.1,30.8,38.4
UMP,Mashonaland East,2016,June,31.1,1007,27,45.8,0.18,0.24,0.15,0.14,79.1,72.3,46.9,70.0,28.9,Rural,39.3,34.7,41.0
UMP,Mashonaland East,2016,November,39.4,1811,27,49.0,0.17,0.23,0.15,0.14,79.9,71.6,51.1,70.0,29.8,Rural,38.0,31.1,40.2
UMP,Mashonaland East,2017,June,33.3,1018,27,47.4,0.18,0.25,0.16,0.14,83.9,73.0,49.9,70.0,29.3,Rural,40.6,39.4,39.6
UMP,Mashonaland East,2017,November,40.7,1938,27,47.6,0.18,0.25,0.16,0.15,83.5,72.3,49.2,69.0,30.0,Rural,37.4,33.3,38.4
UMP,Mashonaland East,2018,June,33.6,1036,27,46.7,0.19,0.27,0.17,0.15,84.2,73.3,49.1,67.0,29.7,Rural,40.4,40.7,40.3
UMP,Mashonaland East,2018,November,39.3,1965,27,46.9,0.18,0.26,0.16,0.16,81.5,72.4,47.2,69.0,30.2,Rural,40.1,33.6,39.1
UMP,Mashonaland East,2019,June,35.4,1042,27,46.9,0.2,0.29,0.18,0.17,80.9,71.1,52.2,68.0,29.7,Rural,37.0,39.3,43.3
UMP,Mashonaland East,2019,November,43.1,1976,28,45.0,0.2,0.28,0.18,0.16,82.2,73.3,53.0,70.0,29.0,Rural,37.1,35.4,39.4
UMP,Mashonaland East,2020,June,29.6,1058,28,48.2,0.19,0.29,0.19,0.18,82.3,71.2,55.1,66.0,31.0,Rural,36.6,43.1,35.5
UMP,Mashonaland East,2020,November,32.7,1914,27,49.4,0.19,0.29,0.19,0.18,82.5,71.6,54.6,63.0,30.3,Rural,36.9,29.6,35.3
UMP,Mashonaland East,2021,June,29.4,1085,28,49.5,0.2,0.33,0.21,0.18,84.2,73.6,57.6,62.0,30.8,Rural,36.8,32.7,38.9
UMP,Mashonaland East,2021,November,37.9,1951,28,47.7,0.19,0.33,0.2,0.19,84.4,72.1,53.3,66.0,30.9,Rural,38.7,29.4,36.3
UMP,Mashonaland East,2022,June,35.7,1112,28,45.3,0.24,0.39,0.2,0.19,80.6,73.9,50.9,80.0,31.7,Rural,38.7,37.9,42.6
UMP,Mashonaland East,2022,November,41.2,2049,28,44.9,0.23,0.41,0.21,0.19,76.8,73.8,46.8,81.0,31.6,Rural,36.0,35.7,40.8
UMP,Mashonaland East,2023,June,35.7,1123,28,44.6,0.26,0.42,0.21,0.19,76.3,71.8,49.7,76.0,32.0,Rural,35.9,41.2,43.7
UMP,Mashonaland East,2023,November,39.1,2082,28,44.3,0.25,0.39,0.21,0.19,77.4,72.0,51.8,81.0,31.5,Rural,36.3,35.7,40.8
UMP,Mashonaland East,2024,June,40.2,1115,28,44.8,0.27,0.45,0.24,0.21,76.8,74.4,49.0,79.0,31.8,Rural,35.8,39.1,40.6
UMP,Mashonaland East,2024,November,43.6,2027,29,45.0,0.27,0.43,0.22,0.2,76.5,72.7,48.7,83.0,30.7,Rural,35.0,40.2,42.3
Chegutu,Mashonaland West,2015,June,37.7,2526,17,30.3,0.56,0.31,0.53,0.32,38.2,80.0,34.6,265.0,194.3,Semi-Urban,13.1,35.8,49.6
Chegutu,Mashonaland West,2015,November,39.0,4819,18,31.2,0.54,0.33,0.56,0.29,38.2,79.8,34.5,276.0,191.2,Semi-Urban,13.3,37.7,49.5
Chegutu,Mashonaland West,2016,June,38.8,2625,18,30.6,0.58,0.35,0.54,0.33,38.3,81.8,36.1,289.0,186.1,Semi-Urban,13.2,39.0,51.9
Chegutu,Mashonaland West,2016,November,39.6,4876,18,31.0,0.57,0.33,0.53,0.31,39.2,81.6,34.3,265.0,195.6,Semi-Urban,13.1,38.8,53.2
Chegutu,Mashonaland West,2017,June,36.9,2631,18,30.9,0.56,0.36,0.55,0.31,37.7,80.0,33.6,264.0,190.5,Semi-Urban,12.7,39.6,54.4
Chegutu,Mashonaland West,2017,November,45.0,4893,18,29.5,0.58,0.33,0.57,0.3,37.1,81.4,35.6,276.0,188.8,Semi-Urban,12.5,36.9,51.3
Chegutu,Mashonaland West,2018,June,40.0,2640,18,28.9,0.58,0.35,0.59,0.34,38.0,80.2,33.9,296.0,196.5,Semi-Urban,12.2,45.0,53.2
Chegutu,Mashonaland West,2018,November,46.3,4982,18,28.8,0.56,0.39,0.57,0.34,36.3,82.4,33.8,294.0,189.8,Semi-Urban,12.8,40.0,52.0
Chegutu,Mashonaland West,2019,June,41.3,2683,18,28.9,0.57,0.37,0.57,0.35,36.6,80.8,35.7,307.0,201.8,Semi-Urban,13.0,46.3,56.8
Chegutu,Mashonaland West,2019,November,47.4,5049,18,28.5,0.57,0.39,0.57,0.34,37.6,81.8,33.5,300.0,193.6,Semi-Urban,12.9,41.3,56.1
Chegutu,Mashonaland West,2020,June,34.3,2799,18,31.8,0.6,0.41,0.6,0.35,41.3,80.5,37.0,240.0,208.6,Semi-Urban,12.0,47.4,51.5
Chegutu,Mashonaland West,2020,November,38.6,5086,18,31.7,0.6,0.39,0.61,0.34,40.8,83.2,39.8,242.0,204.9,Semi-Urban,11.8,34.3,47.3
Chegutu,Mashonaland West,2021,June,36.6,2839,18,30.1,0.58,0.42,0.59,0.34,41.3,81.4,40.5,262.0,203.2,Semi-Urban,12.2,38.6,52.3
Chegutu,Mashonaland West,2021,November,42.5,5088,18,32.4,0.58,0.41,0.59,0.36,40.8,80.8,42.4,268.0,206.0,Semi-Urban,12.3,36.6,52.9
Chegutu,Mashonaland West,2022,June,37.5,2776,18,28.5,0.62,0.51,0.62,0.37,34.6,82.3,33.3,304.0,199.3,Semi-Urban,12.0,42.5,55.5
Chegutu,Mashonaland West,2022,November,43.4,5356,18,28.3,0.63,0.51,0.6,0.37,37.1,84.0,33.4,319.0,200.9,Semi-Urban,12.0,37.5,52.6
Chegutu,Mashonaland West,2023,June,40.9,2832,19,29.3,0.67,0.54,0.62,0.37,35.8,82.4,36.7,302.0,203.2,Semi-Urban,12.7,43.4,52.6
Chegutu,Mashonaland West,2023,November,45.2,5387,19,28.8,0.63,0.5,0.61,0.36,34.7,83.4,32.5,300.0,207.9,Semi-Urban,12.6,40.9,52.0
Chegutu,Mashonaland West,2024,June,44.0,2866,19,29.2,0.64,0.55,0.65,0.37,35.1,81.4,34.7,331.0,206.9,Semi-Urban,12.3,45.2,54.6
Chegutu,Mashonaland West,2024,November,49.9,5302,19,28.5,0.66,0.5,0.61,0.39,35.4,84.5,32.9,302.0,214.0,Semi-Urban,11.9,44.0,53.4
Hurungwe,Mashonaland West,2015,June,15.9,911,6,38.8,0.2,0.05,0.44,0.27,71.8,82.6,56.7,52.0,57.6,Rural,39.2,13.3,56.7
Hurungwe,Mashonaland West,2015,November,19.6,1656,7,41.2,0.19,0.05,0.42,0.29,76.5,81.4,54.4,56.0,56.6,Rural,39.6,15.9,55.9
Hurungwe,Mashonaland West,2016,June,16.5,939,7,39.4,0.22,0.07,0.44,0.3,72.5,82.2,55.5,59.0,56.9,Rural,39.2,19.6,56.9
Hurungwe,Mashonaland West,2016,November,21.0,1701,7,38.8,0.21,0.07,0.43,0.3,77.1,81.4,52.3,54.0,57.3,Rural,40.2,16.5,55.9
Hurungwe,Mashonaland West,2017,June,18.1,957,7,40.0,0.22,0.09,0.45,0.29,73.8,82.0,53.4,58.0,57.8,Rural,37.2,21.0,56.3
Hurungwe,Mashonaland West,2017,November,23.0,1731,7,39.3,0.21,0.08,0.44,0.31,74.4,80.6,56.7,59.0,59.3,Rural,37.9,18.1,56.7
Hurungwe,Mashonaland West,2018,June,19.4,938,7,37.7,0.23,0.1,0.45,0.31,74.6,81.5,53.1,59.0,57.7,Rural,38.1,23.0,57.0
Hurungwe,Mashonaland West,2018,November,23.5,1789,7,38.7,0.24,0.11,0.44,0.31,71.8,80.4,54.3,60.0,57.7,Rural,38.8,19.4,58.1
Hurungwe,Mashonaland West,2019,June,20.4,961,7,39.4,0.25,0.12,0.45,0.3,71.7,82.2,50.9,59.0,58.7,Rural,36.3,23.5,59.4
Hurungwe,Mashonaland West,2019,November,25.9,1830,7,39.3,0.25,0.13,0.45,0.32,74.3,81.3,56.8,57.0,61.0,Rural,39.7,20.4,59.8
Hurungwe,Mashonaland West,2020,June,13.8,951,7,42.4,0.22,0.15,0.49,0.34,74.9,81.8,59.1,48.0,60.2,Rural,39.6,25.9,54.0
Hurungwe,Mashonaland West,2020,November,18.9,1771,7,41.2,0.23,0.15,0.46,0.31,75.9,81.3,58.9,50.0,58.0,Rural,37.8,13.8,54.8
Hurungwe,Mashonaland West,2021,June,15.2,1009,7,42.1,0.24,0.16,0.49,0.34,77.7,82.2,61.5,50.0,61.9,Rural,36.4,18.9,57.1
Hurungwe,Mashonaland West,2021,November,20.6,1826,7,42.2,0.24,0.16,0.47,0.33,75.6,82.6,59.8,53.0,60.4,Rural,37.9,15.2,57.9
Hurungwe,Mashonaland West,2022,June,19.9,992,7,38.1,0.29,0.24,0.5,0.33,74.6,82.8,55.2,58.0,60.7,Rural,38.8,20.6,55.1
Hurungwe,Mashonaland West,2022,November,24.1,1911,7,38.2,0.27,0.24,0.51,0.34,71.4,83.8,53.7,59.0,62.0,Rural,37.8,19.9,57.3
Hurungwe,Mashonaland West,2023,June,21.2,1006,7,37.1,0.3,0.25,0.51,0.35,71.1,83.4,57.0,60.0,63.1,Rural,37.5,24.1,56.4
Hurungwe,Mashonaland West,2023,November,26.7,1889,7,36.4,0.29,0.24,0.5,0.33,71.1,83.6,53.1,61.0,62.4,Rural,35.8,21.2,61.4
Hurungwe,Mashonaland West,2024,June,22.3,1025,7,37.5,0.32,0.28,0.51,0.35,69.2,82.9,54.7,61.0,62.8,Rural,36.2,26.7,62.2
Hurungwe,Mashonaland West,2024,November,25.7,1938,7,36.4,0.3,0.26,0.5,0.35,68.4,82.5,57.8,63.0,61.4,Rural,36.6,22.3,57.6
Kadoma Urban,Mashonaland West,2015,June,66.4,15981,44,26.9,0.64,0.84,0.85,0.7,19.2,90.8,12.5,341.0,240.4,Urban,1.0,69.2,71.2
Kadoma Urban,Mashonaland West,2015,November,70.6,28497,45,26.9,0.65,0.84,0.85,0.71,17.9,91.6,11.2,312.0,243.6,Urban,1.0,66.4,71.0
Kadoma Urban,Mashonaland West,2016,June,72.4,15881,45,25.8,0.63,0.84,0.86,0.7,18.2,91.7,12.8,340.0,250.4,Urban,1.0,70.6,74.6
Kadoma Urban,Mashonaland West,2016,November,76.7,30282,45,26.3,0.64,0.84,0.84,0.73,18.7,92.9,10.8,333.0,243.4,Urban,1.0,72.4,70.3
Kadoma Urban,Mashonaland West,2017,June,75.3,16213,45,25.3,0.69,0.89,0.87,0.73,17.9,91.3,13.1,330.0,250.1,Urban,1.0,76.7,75.6
Kadoma Urban,Mashonaland West,2017,November,75.5,30850,45,26.0,0.63,0.87,0.84,0.73,18.1,91.2,11.8,340.0,243.4,Urban,1.1,75.3,75.7
Kadoma Urban,Mashonaland West,2018,June,69.5,16131,46,25.3,0.64,0.87,0.89,0.78,17.5,92.5,11.2,338.0,247.2,Urban,1.0,75.5,72.1
Kadoma Urban,Mashonaland West,2018,November,79.3,30636,46,25.1,0.67,0.9,0.87,0.77,17.3,92.0,11.5,367.0,251.2,Urban,1.0,69.5,71.7
